2025-01-01,Free Hard Drive Space,1 TB to 2 TB,-0.0004,0.0978
2025-01-01,Free Hard Drive Space,10 GB to  99 GB,0.0011,0.1527
2025-01-01,Free Hard Drive Space,100 GB to 249 GB,0.0044,0.2261
2025-01-01,Free Hard Drive Space,2 TB to 3 TB,0.0009,0.0267
2025-01-01,Free Hard Drive Space,250 GB to 499 GB,0.0009,0.2195
2025-01-01,Free Hard Drive Space,3 TB to 4 TB,0.0001,0.0200
2025-01-01,Free Hard Drive Space,500 GB to 749 GB,-0.0003,0.1103
2025-01-01,Free Hard Drive Space,750 GB to 999 GB,-0.0045,0.0903
2025-01-01,Free Hard Drive Space,Above 4 TB,-0.0018,0.0482
2025-01-01,Free Hard Drive Space,Less than 10 GB,-0.0005,0.0083
2025-01-01,Free Hard Drive Space,Unspecified,0.0000,0.0000
2025-01-01,Intel CPU Speeds,1.4 Ghz to 1.49 Ghz,-0.0001,0.0015
2025-01-01,Intel CPU Speeds,1.5 Ghz to 1.69 Ghz,-0.0002,0.0018
2025-01-01,Intel CPU Speeds,1.7 Ghz to 1.99 Ghz,-0.0007,0.0113
2025-01-01,Intel CPU Speeds,2.0 Ghz to 2.29 Ghz,0.0004,0.0394
2025-01-01,Intel CPU Speeds,2.3 Ghz to 2.69 Ghz,0.0075,0.2264
2025-01-01,Intel CPU Speeds,2.7 Ghz to 2.99 Ghz,0.0019,0.1104
2025-01-01,Intel CPU Speeds,3.0 Ghz to 3.29 Ghz,0.0000,0.0545
2025-01-01,Intel CPU Speeds,3.3 Ghz to 3.69 Ghz,0.0027,0.1439
2025-01-01,Intel CPU Speeds,3.7 Ghz and above,-0.0014,0.0248
2025-01-01,Intel CPU Speeds,Below 1.4 Ghz,-0.0008,0.0078
2025-01-01,Intel CPU Speeds,Unspecified,-0.0005,0.0028
2025-01-01,Language,Arabic,0.0000,0.0000
2025-01-01,Language,Bulgarian,0.0000,0.0005
2025-01-01,Language,Czech,-0.0004,0.0055
2025-01-01,Language,Danish,-0.0002,0.0023
2025-01-01,Language,Dutch,-0.0003,0.0026
2025-01-01,Language,English,-0.0256,0.3397
2025-01-01,Language,Finnish,-0.0001,0.0016
2025-01-01,Language,French,-0.0014,0.0223
2025-01-01,Language,German,-0.0021,0.0288
2025-01-01,Language,Greek,-0.0001,0.0006
2025-01-01,Language,Hungarian,-0.0001,0.0038
2025-01-01,Language,Indonesian,0.0002,0.0012
2025-01-01,Language,Italian,-0.0004,0.0061
2025-01-01,Language,Japanese,0.0047,0.0269
2025-01-01,Language,Korean,0.0077,0.0195
2025-01-01,Language,Norwegian,-0.0001,0.0012
2025-01-01,Language,Polish,-0.0014,0.0161
2025-01-01,Language,Portuguese - Portugal,-0.0005,0.0035
2025-01-01,Language,Portuguese-Brazil,-0.0042,0.0377
2025-01-01,Language,Romanian,0.0000,0.0014
2025-01-01,Language,Russian,0.0083,0.0962
2025-01-01,Language,Simplified Chinese,0.0200,0.2918
2025-01-01,Language,Spanish - Latin America,-0.0004,0.0053
2025-01-01,Language,Spanish - Spain,-0.0051,0.0399
2025-01-01,Language,Swedish,-0.0003,0.0026
2025-01-01,Language,Thai,0.0010,0.0090
2025-01-01,Language,Traditional Chinese,0.0013,0.0133
2025-01-01,Language,Turkish,0.0001,0.0124
2025-01-01,Language,Ukrainian,-0.0006,0.0067
2025-01-01,Language,Vietnamese,0.0001,0.0014
2025-01-01,Multi-Monitor Desktop Resolution,1920 x 2160,0.0000,0.0160
2025-01-01,Multi-Monitor Desktop Resolution,2560 x 2520,0.0002,0.0100
2025-01-01,Multi-Monitor Desktop Resolution,2944 x 1080,0.0000,0.0042
2025-01-01,Multi-Monitor Desktop Resolution,3000 x 1920,0.0024,0.0500
2025-01-01,Multi-Monitor Desktop Resolution,3200 x 1080,-0.0006,0.0206
2025-01-01,Multi-Monitor Desktop Resolution,3280 x 1080,-0.0012,0.0122
2025-01-01,Multi-Monitor Desktop Resolution,3286 x 1080,-0.0006,0.0252
2025-01-01,Multi-Monitor Desktop Resolution,3360 x 1080,-0.0004,0.0132
2025-01-01,Multi-Monitor Desktop Resolution,3440 x 2520,0.0002,0.0056
2025-01-01,Multi-Monitor Desktop Resolution,3520 x 1080,0.0000,0.0172
2025-01-01,Multi-Monitor Desktop Resolution,3600 x 1080,-0.0004,0.0126
2025-01-01,Multi-Monitor Desktop Resolution,3640 x 1920,0.0018,0.0354
2025-01-01,Multi-Monitor Desktop Resolution,3840 x 1080,0.0010,0.5520
2025-01-01,Multi-Monitor Desktop Resolution,3840 x 1081,-0.0006,0.0106
2025-01-01,Multi-Monitor Desktop Resolution,3840 x 1082,0.0002,0.0066
2025-01-01,Multi-Monitor Desktop Resolution,3840 x 1083,0.0004,0.0098
2025-01-01,Multi-Monitor Desktop Resolution,3840 x 1084,-0.0004,0.0074
2025-01-01,Multi-Monitor Desktop Resolution,3840 x 1085,-0.0002,0.0066
2025-01-01,Multi-Monitor Desktop Resolution,3840 x 1086,0.0000,0.0060
2025-01-01,Multi-Monitor Desktop Resolution,3840 x 1087,0.0002,0.0046
2025-01-01,Multi-Monitor Desktop Resolution,3840 x 1200,-0.0004,0.0168
2025-01-01,Multi-Monitor Desktop Resolution,3840 x 2160,-0.0004,0.0092
2025-01-01,Multi-Monitor Desktop Resolution,4000 x 2560,0.0002,0.0132
2025-01-01,Multi-Monitor Desktop Resolution,4480 x 1080,-0.0004,0.0156
2025-01-01,Multi-Monitor Desktop Resolution,4480 x 1440,0.0044,0.2506
2025-01-01,Multi-Monitor Desktop Resolution,4480 x 1600,-0.0002,0.0098
2025-01-01,Multi-Monitor Desktop Resolution,4520 x 1920,0.0004,0.0076
2025-01-01,Multi-Monitor Desktop Resolution,4880 x 2560,-0.0002,0.0044
2025-01-01,Multi-Monitor Desktop Resolution,4920 x 1920,0.0002,0.0084
2025-01-01,Multi-Monitor Desktop Resolution,4920 x 2160,0.0002,0.0052
2025-01-01,Multi-Monitor Desktop Resolution,5120 x 1440,0.0012,0.0934
2025-01-01,Multi-Monitor Desktop Resolution,5120 x 1600,-0.0002,0.0068
2025-01-01,Multi-Monitor Desktop Resolution,5120 x 2880,-0.0004,0.0052
2025-01-01,Multi-Monitor Desktop Resolution,5360 x 1440,0.0012,0.0308
2025-01-01,Multi-Monitor Desktop Resolution,5560 x 1920,-0.0004,0.0058
2025-01-01,Multi-Monitor Desktop Resolution,5760 x 1080,-0.0014,0.0294
2025-01-01,Multi-Monitor Desktop Resolution,5760 x 2160,0.0010,0.0502
2025-01-01,Multi-Monitor Desktop Resolution,6000 x 1440,0.0004,0.0142
2025-01-01,Multi-Monitor Desktop Resolution,6400 x 1440,-0.0002,0.0176
2025-01-01,Multi-Monitor Desktop Resolution,6400 x 2160,0.0010,0.0308
2025-01-01,Multi-Monitor Desktop Resolution,7040 x 1440,0.0000,0.0060
2025-01-01,Multi-Monitor Desktop Resolution,7280 x 2160,0.0000,0.0046
2025-01-01,Multi-Monitor Desktop Resolution,7680 x 1440,0.0000,0.0080
2025-01-01,Multi-Monitor Desktop Resolution,7680 x 2160,-0.0002,0.0256
2025-01-01,Multi-Monitor Desktop Resolution,Other,-0.0074,0.5050
2025-01-01,OS Version,"""Arch Linux"" 64 bit",-0.0002,0.0019
2025-01-01,OS Version,"""Manjaro Linux"" 64 bit",0.0000,0.0006
2025-01-01,OS Version,Debian GNU/Linux 12 (bookworm) 64 bit,0.0000,0.0005
2025-01-01,OS Version,Linux Mint 22 64 bit,-0.0002,0.0009
2025-01-01,OS Version,MacOS 14.5.0 64 bit,-0.0002,0.0007
2025-01-01,OS Version,MacOS 14.6.1 64 bit,-0.0005,0.0010
2025-01-01,OS Version,MacOS 15.1.0 64 bit,-0.0003,0.0006
2025-01-01,OS Version,MacOS 15.1.1 64 bit,-0.0028,0.0024
2025-01-01,OS Version,MacOS 15.2.0 64 bit,0.0022,0.0040
2025-01-01,OS Version,Ubuntu 24.04.1 LTS 64 bit,-0.0001,0.0010
2025-01-01,OS Version,Ubuntu Core 22 64 bit,-0.0001,0.0008
2025-01-01,OS Version,Windows 10 64 bit,0.0013,0.4287
2025-01-01,OS Version,Windows 11 64 bit,0.0034,0.5346
2025-01-01,OS Version,Windows 7 64 bit,-0.0001,0.0015
2025-01-01,Other Settings,AES,0.0007,0.9875
2025-01-01,Other Settings,AVX,0.0026,0.9748
2025-01-01,Other Settings,AVX2,0.0037,0.9467
2025-01-01,Other Settings,AVX512CD,0.0013,0.1487
2025-01-01,Other Settings,AVX512ER,0.0000,0.0000
2025-01-01,Other Settings,AVX512F,0.0013,0.1487
2025-01-01,Other Settings,AVX512PF,0.0000,0.0000
2025-01-01,Other Settings,AVX512VNNI,0.0015,0.1484
2025-01-01,Other Settings,CMPXCHG16B,0.0000,1.0000
2025-01-01,Other Settings,FCMOV,0.0021,0.9860
2025-01-01,Other Settings,HyperThreading,0.0035,0.8891
2025-01-01,Other Settings,LAHF / SAHF,0.0000,1.0000
2025-01-01,Other Settings,NTFS,0.0045,0.9645
2025-01-01,Other Settings,PrefetchW,0.0000,0.0000
2025-01-01,Other Settings,SHA,0.0101,0.7114
2025-01-01,Other Settings,SSE2,0.0000,1.0000
2025-01-01,Other Settings,SSE3,0.0000,1.0000
2025-01-01,Other Settings,SSE4.1,0.0001,0.9982
2025-01-01,Other Settings,SSE4.2,0.0002,0.9975
2025-01-01,Other Settings,SSE4a,-0.0070,0.3636
2025-01-01,Other Settings,SSSE3,0.0000,0.9987
2025-01-01,Physical CPUs,1 cpu,-0.0001,0.0003
2025-01-01,Physical CPUs,10 cpus,0.0033,0.0674
2025-01-01,Physical CPUs,11 cpus,0.0000,0.0004
2025-01-01,Physical CPUs,12 cpus,0.0018,0.0585
2025-01-01,Physical CPUs,120 cpus,0.0000,0.0000
2025-01-01,Physical CPUs,128 cpus,0.0000,0.0000
2025-01-01,Physical CPUs,13 cpus,0.0000,0.0000
2025-01-01,Physical CPUs,14 cpus,0.0027,0.0465
2025-01-01,Physical CPUs,15 cpus,0.0000,0.0000
2025-01-01,Physical CPUs,16 cpus,0.0013,0.0452
2025-01-01,Physical CPUs,17 cpus,0.0000,0.0000
2025-01-01,Physical CPUs,18 cpus,0.0001,0.0005
2025-01-01,Physical CPUs,19 cpus,0.0000,0.0000
2025-01-01,Physical CPUs,192 cpus,0.0000,0.0000
2025-01-01,Physical CPUs,2 cpus,-0.0028,0.0402
2025-01-01,Physical CPUs,20 cpus,0.0014,0.0131
2025-01-01,Physical CPUs,21 cpus,0.0000,0.0000
2025-01-01,Physical CPUs,22 cpus,0.0000,0.0000
